Table name: Statistics for Alpha Persei-ARI-Gaia-2d
dataLocation: Alpha Persei-ARI-Gaia-2d
statRows: 397
subset: cluster
+--------------------------+-----------------------+---------------------+-----------------------------+-----------------------------+-------+
| Name                     | Mean                  | SD                  | Minimum                     | Maximum                     | nGood |
+--------------------------+-----------------------+---------------------+-----------------------------+-----------------------------+-------+
| source_id                |                       |                     | 243185278842565376          | 442937954313019392          | 397   |
| designation              |                       |                     | Gaia DR2 243185278842565376 | Gaia DR2 442937954313019392 | 397   |
| ra                       | 51.21645736184031     | 1.269620656967163   | 48.36543685590532           | 53.94749512048056           | 397   |
| dec                      | 49.3458080675485      | 0.8224373459815979  | 47.90946345129159           | 51.804311912529684          | 397   |
| l                        | 146.926837685962      | 0.8615089058876038  | 144.77845634190624          | 148.51528455758748          | 397   |
| ecl_lon                  | 62.010129270151616    | 0.9267461895942688  | 59.85710041130949           | 64.25998543077891           | 397   |
| ecl_lat                  | 29.609667609780416    | 0.8426377773284912  | 28.1430140653147            | 32.04657579740683           | 397   |
| parallax                 | 5.7245869449723905    | 0.18562540411949158 | 5.276845301069633           | 6.242073072840425           | 397   |
| pmra                     | 23.090622222912558    | 0.7454514503479004  | 21.25219342505445           | 24.723859854061686          | 397   |
| pmdec                    | -25.450621716528413   | 0.8189645409584045  | -27.433728979468764         | -23.558698647217724         | 397   |
| phot_g_mean_mag          | 15.155023185672327    | 3.2593908309936523  | 4.9245744                   | 20.594486                   | 397   |
| phot_bp_mean_mag         | 16.477137501469723    | 3.9019482135772705  | 4.9169083                   | 21.931362                   | 394   |
| phot_rp_mean_mag         | 14.073667889319095    | 2.8661916255950928  | 5.030948                    | 18.871191                   | 394   |
| ra_error                 | 0.0873744336395118    | 0.08665682375431061 | 0.016357199787617984        | 0.8418184732880535          | 397   |
| dec_error                | 0.06756106909586235   | 0.06465839594602585 | 0.012660866246029386        | 0.6071027151128678          | 397   |
| parallax_error           | 0.11566722196988453   | 0.1086539700627327  | 0.02029125912059099         | 1.0014849185910666          | 397   |
| pmra_error               | 0.24452852452354515   | 0.255459189414978   | 0.04311915850319937         | 2.764433462720838           | 397   |
| pmdec_error              | 0.18748455626065588   | 0.1849386990070343  | 0.03247352717110774         | 1.961233466582473           | 397   |
| astrometric_excess_noise | 0.39390401344233666   | 0.4129781424999237  | 0.0                         | 3.4131043162170456          | 397   |
| astrometric_gof_al       | 8.359953538371574     | 11.334053993225098  | -5.9400115                  | 120.35114                   | 397   |
| bp_g                     | 1.3370298044330577    | 0.6633332967758179  | -0.0271101                  | 2.3627777                   | 394   |
| bp_rp                    | 2.403469612150628     | 1.0567008256912231  | -0.1140399                  | 3.7831879                   | 394   |
| dec_parallax_corr        | -0.025292070381934532 | 0.1035575196146965  | -0.38018265                 | 0.35179746                  | 397   |
| dec_pmdec_corr           | 0.14455701807330265   | 0.1196206733584404  | -0.3098108                  | 0.49032804                  | 397   |
| dec_pmra_corr            | 0.015172173369966766  | 0.09716622531414032 | -0.37360516                 | 0.35596368                  | 397   |
| g_rp                     | 1.06643980771757      | 0.4063102602958679  | -0.10637379                 | 1.896656                    | 394   |
| lum_val                  | 1.2925272805483212    | 2.170760154724121   | 0.0460767                   | 13.780353                   | 112   |
| parallax_pmdec_corr      | 0.014938770718089602  | 0.12409153580665588 | -0.41372526                 | 0.4590518                   | 397   |
| parallax_pmra_corr       | 0.12106957863009755   | 0.1662634015083313  | -0.40018192                 | 0.5991853                   | 397   |
| phot_bp_mean_flux        | 1597037.590044373     | 1.0594288E7         | 23.33511995842995           | 1.4920796537395474E8        | 394   |
| phot_bp_mean_flux_error  | 2474.161379249921     | 17976.76953125      | 4.308584984247056           | 248969.42926793027          | 394   |
| phot_bp_n_obs            | 28.589420654911837    | 4.995230674743652   | 0                           | 40                          | 397   |
| phot_rp_mean_flux        | 1003118.0392769552    | 5702804.5           | 227.13877128747893          | 7.805284775044689E7         | 394   |
| phot_rp_mean_flux_error  | 3214.325206728328     | 30303.90234375      | 5.190019976207418           | 547087.2207421635           | 394   |
| phot_rp_n_obs            | 29.352644836272038    | 4.439526557922363   | 0                           | 39                          | 397   |
| pmra_pmdec_corr          | 0.1319342895296739    | 0.14548757672309875 | -0.47436216                 | 0.7221717                   | 397   |
| ra_dec_corr              | 0.26454485371070785   | 0.09528782963752747 | -0.16967955                 | 0.76155496                  | 397   |
| radial_velocity          | -0.7972362195673068   | 5.056151390075684   | -12.528238553879653         | 26.45301240565822           | 62    |
| radial_velocity_error    | 3.5611348205979865    | 3.216017484664917   | 0.5734318897027586          | 12.922946022639474          | 62    |
| random_index             | 8.289344170755668E8   | 4.98628256E8        | 4306556                     | 1684493447                  | 397   |
| ra_parallax_corr         | 0.030873054299229093  | 0.11792362481355667 | -0.4957025                  | 0.33047733                  | 397   |
| ra_pmdec_corr            | 0.050649437332591536  | 0.09910731762647629 | -0.25707078                 | 0.4179077                   | 397   |
| ra_pmra_corr             | -0.09498704138319818  | 0.16503389179706573 | -0.55042356                 | 0.41229522                  | 397   |
| ref_epoch                | 2015.5                | 0.0                 | 2015.5                      | 2015.5                      | 397   |
| teff_val                 | 4851.851500321864     | 1424.9783935546875  | 3279.0                      | 9661.667                    | 267   |
| visibility_periods_used  | 13.3727959697733      | 0.7558773756027222  | 9                           | 14                          | 397   |
+--------------------------+-----------------------+---------------------+-----------------------------+-----------------------------+-------+
